start_time,second_time,car_value,bus_value,truck_value,car_flow,bus_flow,truck_flow,flow_sum,density,residence_time,lanes_sum,FPR,flow_normalization,density_normalization,residence_time_normalize,FPR_normalize,congestion_coefficient
2024/5/1 13:46,3000,8.236157084,0.171862271,2.189189153,2329.878564,50.28137729,235.2813773,31.43724541,10.59720851,19.79285194,2,7.996159453,0.409723976,0.624215939,0.626775554,0.251935952,0.261704118
2024/5/1 13:51,3300,12.85254876,0.01,0.848393518,2547.523326,61,268.8285451,45.11399573,13.71094228,21.02229942,2,4.916771157,0.784122236,0.893029992,0.674009966,0.006665325,0.353007595
2024/5/1 13:56,3600,10.87644271,0.010623472,1.718349545,2794.004888,63,301.501222,40.18704175,12.60541573,20.29927043,2,7.108812588,0.649247872,0.797587962,0.646231757,0.181259538,0.323023116
2024/5/1 14:01,3900,10.42239505,0.088105142,2.056579048,3046.568457,67,326.1263238,38.86053336,12.56707924,16.73490887,2,8.823150072,0.612934975,0.794278306,0.50929177,0.317805043,0.30336601
2024/5/1 14:06,4200,10.10694565,0.105028514,1.777343175,3314.787487,74.78178463,364.5939282,37.37571284,11.98931734,14.44656692,2,5.799406989,0.572288315,0.744399116,0.42137546,0.07696651,0.264557759
2024/5/1 14:11,4500,9.547887927,0.001558681,1.145981096,147.6619782,2,27.76619782,32.76619782,10.6954277,12.73995112,2,7.732060396,0.446103778,0.632695373,0.355808614,0.23090069,0.226736199
2024/5/1 14:16,4800,10.26415681,0.070032587,0.900203668,403.755499,7.500407337,53.50122201,48.49633397,11.23439307,11.5302431,2,8.19881488,0.876713058,0.679225191,0.309332577,0.268077283,0.293194488
2024/5/1 14:21,5100,2.548686801,0.017350242,0.800737527,592.5184382,9,82.47004839,16.47004839,3.36677457,8.738474754,2,6.195363761,0,0,0.202075018,0.108504126,0.035736459
2024/5/1 14:26,5400,4.976344459,0.099712704,0.26748167,762.1943738,13.81295825,92.90647913,31.03606167,5.343538833,5.634770691,2,11.12673667,0.398741653,0.170657497,0.082833132,0.501283733,0.122899029
2024/5/1 14:31,5700,3.716538314,0.02,0.423846743,890.4577203,14,106.7038506,22,4.160385057,4.033153808,2,9.17187904,0.151381301,0.068513774,0.021300263,0.345581006,0.053458351
2024/5/1 14:36,6000,4.089877799,0.016882638,0.326356926,1029.441319,17,119.6882638,19.74898166,4.433117362,3.478736941,2,8.694945317,0.089760132,0.092059228,0,0.307593645,0.042652586
2024/5/1 14:41,6300,6.137429549,0.134724924,0.339639383,1199.726769,22.89089231,136.7817846,32.12713852,6.611793857,3.845733646,2,7.40873605,0.42860966,0.28014816,0.014099727,0.205148184,0.118686041
2024/5/1 14:46,6600,4.266984719,0,0.144380601,1325.285451,24,148.4380601,21.68581973,4.41136532,3.609748024,2,9.835872541,0.14278068,0.090181336,0.005033343,0.398467516,0.05562268
2024/5/1 14:51,6900,4.849235379,0.176415033,0.456415033,1483.603704,28.09433555,166.6415033,27.67919434,5.482065445,3.704457404,2,7.100180461,0.306848092,0.182616741,0.008672004,0.180571997,0.083749125
2024/5/1 14:56,7200,3.647652751,0.02246945,0.416259165,1654.50611,29,186.501222,23.12713852,4.086381366,3.940995622,2,8.230159047,0.182236489,0.062124906,0.017759617,0.270573819,0.052846843
2024/5/1 15:01,7500,7.312972881,0,0.185414651,1854.91707,34,207,37.98278384,7.498387532,4.036671867,2,7.859629979,0.58890676,0.356689334,0.021435424,0.241061497,0.157107803
2024/5/1 15:06,7800,4.592946281,0.084947046,0.350262856,2057.1632,39,224.531581,25.74735231,5.028156183,4.978155621,2,8.97611801,0.253964309,0.143429965,0.057606494,0.329988808,0.084749556
2024/5/1 15:11,8100,2.974489749,0.094569056,0.498276224,2210.615218,41.85971869,246.2985935,22.57915607,3.567335029,4.210502708,2,6.23111597,0.167235581,0.017314733,0.028113869,0.111351758,0.037467215
2024/5/1 15:16,8400,5.64394833,0.088292517,0.287514257,2352.574975,45.75142568,259.3757128,28.00570272,6.019755104,3.582034664,2,8.365914918,0.315786192,0.229036424,0.003968618,0.281386657,0.096388018
2024/5/1 15:21,8700,3.49,0.09,0.22,2461,49,267,20,3.8,3.734186355,2,9.972078169,0.096631708,0.037401105,0.009814167,0.409316177,0.042042856
