,Number of frames,car_average_value,bus_average_value,truck_average_value,car_flow_count,bus_flow_count,truck_flow_count,all_flow_count
113,11400,4.53,0.0,0.45,3005,62,334,3401
114,11500,3.71,0.18,0.39,3015,63,336,3414
115,11600,2.95,0.0,0.64,3026,63,336,3425
116,11700,2.72,0.0,0.0,3033,63,336,3432
117,11800,2.79,0.0,0.45,3044,63,337,3444
118,11900,4.8,0.0,0.39,3058,63,339,3460
119,12000,2.35,0.0,0.83,3066,63,342,3471
120,12100,1.78,0.14,0.74,3071,63,346,3480
121,12200,3.87,0.0,0.61,3087,63,349,3499
122,12300,2.81,0.05,0.81,3096,63,352,3511
123,12400,5.1,0.0,0.21,3118,63,352,3533
124,12500,5.46,0.0,0.55,3133,63,354,3550
125,12600,2.84,0.0,0.48,3140,63,356,3559
126,12700,4.97,0.0,0.4,3162,63,357,3582
127,12800,7.25,0.0,0.03,3192,63,357,3612
128,12900,5.98,0.0,0.69,3220,63,358,3641
