,Number of frames,car_average_value,bus_average_value,truck_average_value,car_flow_count,bus_flow_count,truck_flow_count,all_flow_count
123,12400,9.08,0.0,0.07,3132,45,288,3465
124,12500,7.14,0.0,0.04,3156,45,289,3490
125,12600,5.33,0.07,1.38,3174,45,292,3511
126,12700,7.82,0.28,0.85,3201,45,296,3542
127,12800,8.68,0.01,0.48,3241,46,299,3586
128,12900,8.03,0.0,0.88,3281,46,301,3628
129,13000,9.4,0.01,0.4,3325,46,302,3673
130,13100,8.66,0.0,0.15,3369,46,304,3719
131,13200,6.64,0.42,1.0,3406,47,306,3759
132,13300,5.93,0.0,1.48,3428,47,312,3787
133,13400,8.08,0.11,0.69,3461,48,315,3824
134,13500,8.4,0.47,1.05,3493,49,320,3862
135,13600,8.99,0.02,0.12,3530,49,322,3901
136,13700,9.51,0.0,0.82,3560,49,324,3933
137,13800,9.63,0.0,0.13,3596,49,326,3971
138,13900,7.67,0.0,1.11,3624,49,330,4003
139,14000,7.93,0.0,0.44,3657,49,331,4037
140,14100,5.48,0.01,0.77,3669,49,336,4054
141,14200,6.42,0.97,1.32,3698,52,339,4089
142,14300,8.73,0.54,0.26,3723,52,341,4116
143,14400,8.74,0.0,0.36,3753,52,344,4149
144,14500,8.0,0.31,1.17,3779,52,349,4180
145,14600,7.06,0.42,1.6,3813,55,354,4222
146,14700,8.48,0.2,0.83,3852,55,360,4267
147,14800,9.42,0.0,0.11,3889,55,360,4304
148,14900,8.9,0.0,0.29,3926,55,363,4344
149,15000,9.18,0.0,0.05,3966,55,364,4385
150,15100,8.27,0.0,0.74,4004,55,366,4425
151,15200,9.81,0.0,0.05,4037,55,366,4458
152,15300,9.26,0.0,0.05,4073,55,367,4495
153,15400,9.21,0.0,0.42,4109,55,372,4536
154,15500,6.34,0.04,1.62,4136,55,378,4569
155,15600,9.25,0.02,0.73,4167,55,382,4604
156,15700,8.05,0.74,0.61,4191,58,385,4634
157,15800,7.8,0.54,0.47,4219,58,388,4665
158,15900,7.7,0.0,0.15,4241,58,388,4687
159,16000,7.19,0.11,0.3,4266,59,390,4715
160,16100,8.76,0.75,0.47,4305,60,393,4758
161,16200,9.0,0.0,0.19,4343,60,395,4798
162,16300,7.94,0.17,0.94,4368,61,399,4828
163,16400,9.58,0.01,0.56,4411,61,400,4872
164,16500,7.22,0.44,0.19,4436,62,403,4901
165,16600,4.51,0.1,0.26,4453,62,404,4919
166,16700,7.79,0.0,0.75,4491,62,407,4960
167,16800,5.95,0.0,0.22,4512,62,410,4984
168,16900,4.27,0.06,0.75,4525,62,413,5000
169,17000,2.65,0.0,0.36,4533,62,414,5009
170,17100,6.46,0.55,1.19,4564,65,418,5047
171,17200,6.82,0.27,1.19,4591,66,423,5080
172,17300,8.01,0.15,0.85,4627,66,430,5123
173,17400,7.55,0.69,0.62,4661,66,434,5161
174,17500,6.74,0.02,0.79,4694,66,434,5194
175,17600,7.88,0.03,0.72,4722,66,438,5226
176,17700,2.87,0.0,0.77,4730,66,441,5237
177,17800,5.17,0.0,0.46,4755,66,442,5263
178,17900,6.57,0.51,0.83,4791,67,445,5303
179,18000,4.17,0.0,0.38,4808,67,445,5320
180,18100,3.78,0.02,0.6,4823,67,449,5339
181,18200,6.84,0.31,1.25,4858,69,451,5378
182,18300,7.3,0.16,0.29,4891,70,455,5416
183,18400,5.0,0.01,1.15,4916,70,458,5444
184,18500,5.76,0.42,0.71,4942,73,459,5474
185,18600,7.38,0.0,1.43,4977,73,462,5512
186,18700,5.94,0.4,0.86,5001,73,464,5538
187,18800,6.42,0.02,1.21,5033,73,471,5577
188,18900,7.37,0.0,0.13,5062,73,472,5607
189,19000,6.92,0.0,0.9,5092,73,476,5641
190,19100,5.02,0.0,0.62,5114,73,477,5664
191,19200,6.42,0.05,1.79,5147,73,484,5704
192,19300,6.34,0.18,1.24,5178,73,489,5740
193,19400,7.76,0.01,0.15,5210,73,489,5772
194,19500,6.64,0.04,0.91,5250,73,491,5814
195,19600,4.79,0.0,1.26,5270,73,495,5838
196,19700,7.19,0.41,0.26,5300,74,495,5869
197,19800,4.22,0.0,0.55,5313,74,497,5884
198,19900,4.29,0.0,0.44,5332,74,499,5905
199,20000,8.76,0.8,0.23,5373,77,499,5949
200,20100,5.09,0.11,0.88,5391,77,503,5971
201,20200,7.42,0.06,0.65,5422,77,506,6005
202,20300,8.16,0.43,0.17,5455,79,508,6042
203,20400,8.85,0.0,0.17,5485,79,510,6074
204,20500,3.57,0.39,1.1,5499,80,514,6093
205,20600,8.61,0.32,0.17,5541,81,515,6137
206,20700,5.05,0.11,0.55,5558,81,520,6159
207,20800,5.43,0.0,1.0,5580,81,522,6183
208,20900,5.51,0.0,0.74,5608,81,523,6212
209,21000,7.78,0.1,0.36,5645,83,527,6255
210,21100,2.38,0.37,0.62,5655,83,528,6266
211,21200,3.72,0.02,1.48,5667,83,531,6281
212,21300,6.58,0.01,1.1,5700,83,536,6319
213,21400,6.34,0.0,1.21,5731,83,539,6353
214,21500,3.36,0.27,1.27,5745,84,544,6373
215,21600,5.57,0.0,1.62,5773,84,548,6405
216,21700,8.17,0.44,0.22,5801,84,550,6435
217,21800,4.92,0.46,2.25,5822,87,555,6464
218,21900,6.92,0.54,1.08,5850,87,559,6496
219,22000,6.32,0.0,0.49,5885,87,559,6531
220,22100,6.69,0.0,0.26,5909,87,561,6557
221,22200,5.17,0.2,0.8,5929,87,566,6582
222,22300,3.83,0.24,1.43,5949,87,571,6607
223,22400,6.1,0.35,0.7,5974,88,573,6635
224,22500,7.3,0.01,0.74,6009,88,576,6673
225,22600,8.52,0.0,0.33,6043,88,578,6709
226,22700,6.42,0.0,0.33,6068,88,579,6735
227,22800,4.65,0.02,0.52,6086,88,581,6755
228,22900,3.94,0.0,1.31,6099,88,585,6772
229,23000,7.75,0.07,0.57,6130,89,588,6807
230,23100,9.16,0.45,0.08,6171,90,589,6850
231,23200,8.21,0.26,0.06,6201,90,591,6882
232,23300,5.47,0.2,0.66,6220,90,594,6904
233,23400,5.86,0.44,0.28,6241,91,594,6926
234,23500,5.19,0.0,0.43,6262,91,596,6949
235,23600,6.16,0.0,0.03,6286,91,596,6973
236,23700,5.16,0.0,0.99,6307,91,599,6997
237,23800,6.93,0.0,0.08,6335,91,601,7027
238,23900,6.18,0.0,0.35,6359,91,603,7053
239,24000,4.75,0.06,0.28,6379,91,604,7074
240,24100,4.63,0.03,0.71,6402,91,606,7099
241,24200,6.83,0.36,0.08,6435,92,608,7135
242,24300,5.51,0.42,1.28,6458,93,614,7165
243,24400,7.35,0.03,1.07,6492,93,617,7202
244,24500,7.15,0.0,0.84,6513,93,622,7228
245,24600,6.31,0.09,1.61,6542,93,628,7263
246,24700,6.07,0.01,1.7,6563,93,632,7288
247,24800,6.59,0.0,0.13,6586,93,633,7312
248,24900,4.87,0.03,0.8,6605,93,636,7334
249,25000,6.99,0.33,0.39,6637,94,637,7368
250,25100,8.82,0.4,0.39,6679,95,639,7413
251,25200,5.89,0.03,0.61,6709,95,643,7447
252,25300,3.73,0.0,2.02,6725,95,649,7469
253,25400,7.66,0.0,1.13,6765,95,653,7513
254,25500,7.67,0.0,0.4,6795,95,654,7544
255,25600,5.16,0.57,0.74,6817,95,657,7569
256,25700,7.96,0.0,0.31,6854,95,659,7608
257,25800,7.26,0.11,0.92,6886,95,664,7645
258,25900,7.42,1.21,2.13,6914,98,670,7682
259,26000,12.1,0.84,0.2,6951,98,670,7719
260,26100,8.17,0.08,1.95,6968,98,672,7738
261,26200,7.99,0.01,0.67,6990,98,674,7762
262,26300,7.81,0.22,0.56,7012,99,676,7787
263,26500,5.99,0.03,1.81,7030,99,683,7812
264,26600,7.56,0.01,0.78,7065,99,688,7852
265,26700,4.64,0.02,0.78,7083,99,691,7873
266,26800,3.51,0.0,0.45,7097,99,696,7892
267,26900,5.47,0.0,0.0,7120,99,696,7915
268,27000,2.13,0.0,0.0,7127,99,696,7922
269,27100,5.23,0.32,0.11,7151,101,696,7948
270,27200,3.24,0.0,0.21,7164,101,697,7962
271,27300,2.99,0.0,0.25,7174,101,697,7972
