,Number of frames,car_average_value,bus_average_value,truck_average_value,car_flow_count,bus_flow_count,truck_flow_count,all_flow_count
115,11600,5.26,0.0,0.78,1333,36,157,1526
116,11700,4.22,0.12,0.13,1339,37,157,1533
117,11800,5.36,0.01,0.48,1353,37,159,1549
118,11900,4.7,0.0,0.7,1361,37,160,1558
119,12000,4.48,0.26,0.67,1368,37,161,1566
120,12100,4.67,0.08,0.6,1377,37,163,1577
121,12200,4.13,0.25,1.25,1393,37,165,1595
122,12300,4.29,0.1,1.66,1400,37,169,1606
123,12400,7.25,0.15,1.41,1421,37,171,1629
124,12500,5.77,0.05,2.22,1433,38,174,1645
125,12600,7.84,0.06,1.13,1456,38,175,1669
126,12700,5.55,0.59,0.68,1470,40,177,1687
127,12800,5.92,0.4,0.81,1478,41,178,1697
128,12900,5.84,0.05,0.67,1491,42,179,1712
129,13000,3.53,0.19,1.43,1497,42,181,1720
130,13100,8.84,0.0,0.16,1525,42,181,1748
131,13200,4.52,0.07,0.73,1532,42,181,1755
132,13300,6.54,0.14,0.42,1545,42,181,1768
133,13400,5.11,0.06,0.9,1560,43,182,1785
134,13500,3.57,0.39,1.2,1568,43,183,1794
135,13600,7.89,0.21,0.97,1588,44,185,1817
136,13700,4.31,0.1,1.43,1596,44,188,1828
137,13800,8.35,0.22,0.35,1621,45,188,1854
138,13900,8.86,0.0,0.33,1639,45,188,1872
139,14000,6.37,0.26,0.44,1655,45,190,1890
140,14100,4.37,0.28,1.22,1663,45,190,1898
141,14200,6.04,0.35,1.19,1682,45,196,1923
142,14300,4.98,0.03,0.75,1691,45,196,1932
143,14400,4.91,0.15,1.59,1698,47,199,1944
144,14500,6.07,0.19,1.04,1712,47,201,1960
145,14600,5.69,0.06,1.18,1722,47,203,1972
146,14700,4.09,0.47,0.81,1731,48,205,1984
147,14800,4.67,0.0,0.25,1737,48,206,1991
148,14900,3.71,0.01,0.76,1744,48,206,1998
149,15000,6.68,0.0,0.1,1757,48,206,2011
150,15100,4.68,0.0,1.08,1766,48,209,2023
151,15200,4.76,0.25,1.01,1779,48,211,2038
152,15300,3.7,0.19,0.83,1783,48,211,2042
153,15400,4.24,0.16,1.33,1791,48,214,2053
154,15500,3.49,0.0,0.73,1796,48,214,2058
155,15600,3.63,0.33,0.73,1805,49,214,2068
156,15700,6.1,0.0,0.03,1820,49,214,2083
157,15800,6.22,0.06,0.58,1833,49,216,2098
158,15900,6.04,0.36,0.35,1838,51,218,2107
159,16000,4.05,0.04,1.09,1842,52,220,2114
160,16100,8.63,0.0,0.05,1870,52,220,2142
161,16200,8.45,0.01,0.29,1888,52,221,2161
162,16300,2.54,0.27,0.38,1888,53,222,2163
163,16400,4.69,0.7,0.42,1898,55,223,2176
164,16500,5.99,0.07,0.94,1909,55,224,2188
165,16600,6.16,0.0,0.12,1919,55,224,2198
166,16700,5.38,0.1,0.02,1930,57,224,2211
167,16800,4.91,0.0,0.24,1937,57,225,2219
168,16900,3.96,0.39,0.9,1946,57,226,2229
169,17000,8.3,0.03,0.35,1975,57,227,2259
170,17100,7.78,0.17,0.87,1990,58,228,2276
171,17200,8.4,0.05,0.42,2001,58,228,2287
172,17300,6.35,0.08,1.16,2014,58,229,2301
173,17400,5.72,0.2,0.21,2027,58,229,2314
174,17500,6.67,0.03,0.09,2037,59,229,2325
175,17600,5.07,0.02,0.3,2041,59,229,2329
176,17700,7.14,0.03,0.46,2058,59,230,2347
177,17800,5.7,0.49,0.8,2069,61,230,2360
178,17900,6.51,0.0,0.24,2081,61,231,2373
179,18000,5.06,0.1,0.93,2088,61,231,2380
180,18100,7.95,0.0,1.02,2114,61,234,2409
181,18200,4.1,0.19,0.89,2123,61,236,2420
182,18300,5.81,0.33,0.73,2142,61,236,2439
183,18400,5.06,0.02,1.18,2151,61,238,2450
184,18500,3.77,0.0,1.16,2157,61,239,2457
185,18600,4.97,0.06,1.05,2174,61,241,2476
186,18700,5.77,0.0,0.46,2184,61,243,2488
187,18800,7.09,0.0,0.79,2208,61,246,2515
188,18900,3.85,0.03,1.34,2219,61,248,2528
189,19000,6.06,0.36,0.35,2232,62,249,2543
190,19100,5.38,0.09,1.09,2245,62,250,2557
191,19200,8.45,0.14,0.46,2267,64,250,2581
192,19300,4.58,0.01,1.38,2275,64,252,2591
193,19400,6.17,0.29,1.24,2286,64,255,2605
194,19500,6.17,0.22,1.36,2294,65,258,2617
195,19600,3.7,0.29,0.8,2298,65,259,2622
196,19700,4.75,0.0,0.03,2305,65,259,2629
197,19800,3.35,0.18,0.27,2309,65,260,2634
198,19900,5.52,0.12,0.53,2325,65,260,2650
199,20000,5.5,0.12,0.96,2343,65,260,2668
200,20100,7.45,0.01,0.78,2363,65,261,2689
201,20200,5.47,0.01,0.82,2365,65,262,2692
202,20300,5.47,0.52,0.72,2379,65,263,2707
203,20400,3.94,0.29,1.09,2383,67,263,2713
204,20500,8.38,0.0,0.26,2408,67,264,2739
205,20600,5.19,0.0,0.84,2414,67,265,2746
206,20700,6.02,0.02,0.7,2430,67,265,2762
207,20800,7.44,0.0,0.23,2447,67,265,2779
208,20900,5.72,0.0,0.3,2452,67,267,2786
209,21000,5.57,0.15,0.07,2461,68,267,2796
210,21100,4.61,0.35,0.78,2467,68,269,2804
211,21200,4.34,0.21,1.59,2482,68,272,2822
212,21300,7.58,0.4,0.94,2503,68,272,2843
213,21400,4.3,0.55,0.62,2508,70,272,2850
214,21500,4.61,0.14,0.61,2514,70,276,2860
215,21600,4.06,0.13,1.07,2519,70,278,2867
216,21700,7.37,0.28,0.67,2545,70,279,2894
217,21800,6.62,0.08,0.53,2564,70,282,2916
218,21900,6.42,0.32,0.27,2577,71,282,2930
219,22000,8.07,0.15,0.34,2599,72,282,2953
220,22100,8.99,0.0,0.31,2621,72,282,2975
221,22200,4.95,0.0,0.11,2624,72,282,2978
222,22300,3.74,0.32,0.27,2630,72,282,2984
223,22400,6.54,0.03,0.1,2647,72,283,3002
224,22500,3.02,0.0,0.61,2649,72,283,3004
225,22600,1.79,0.27,1.21,2653,73,285,3011
226,22700,6.88,0.69,1.12,2678,74,287,3039
227,22800,7.41,0.02,0.7,2701,74,288,3063
228,22900,5.5,0.06,0.96,2712,74,290,3076
229,23000,5.2,0.03,0.76,2719,74,290,3083
230,23100,6.41,0.16,0.11,2729,75,291,3095
231,23200,6.17,0.07,0.49,2747,75,292,3114
232,23300,6.08,0.18,0.4,2760,75,292,3127
233,23400,9.72,0.32,0.58,2783,76,293,3152
234,23500,3.39,0.09,0.35,2788,76,293,3157
235,23600,2.54,0.08,0.62,2791,76,293,3160
236,23700,3.71,0.01,1.02,2801,76,295,3172
237,23800,5.53,0.36,0.86,2819,76,296,3191
238,23900,7.53,0.01,1.05,2839,76,299,3214
239,24000,3.54,0.0,1.78,2845,76,301,3222
240,24100,5.59,0.01,1.58,2863,76,303,3242
241,24200,6.71,0.51,1.4,2878,77,305,3260
242,24300,7.01,0.01,0.71,2898,77,307,3282
243,24400,3.98,0.32,0.99,2903,78,308,3289
244,24500,5.87,0.01,0.89,2918,78,308,3304
245,24600,9.27,0.11,0.54,2945,78,310,3333
246,24700,5.63,0.05,1.36,2951,78,314,3343
247,24800,7.5,0.07,1.18,2969,78,315,3362
248,24900,7.92,0.0,0.31,2990,78,315,3383
249,25000,8.27,0.0,0.04,3007,78,315,3400
250,25100,6.81,0.0,0.16,3023,78,315,3416
251,25200,7.36,0.0,0.17,3035,78,316,3429
252,25300,6.16,0.0,0.22,3049,78,317,3444
253,25400,7.0,0.0,0.01,3059,78,317,3454
254,25500,7.5,0.09,0.04,3073,79,317,3469
255,25600,5.57,0.0,0.07,3084,79,318,3481
256,25700,5.5,0.2,1.08,3099,79,320,3498
257,25800,5.41,0.65,1.3,3114,80,322,3516
258,25900,6.74,0.13,1.51,3129,82,323,3534
259,26000,3.52,0.18,0.48,3135,82,324,3541
260,26100,4.26,0.28,0.98,3144,82,325,3551
261,26200,5.09,0.06,0.9,3170,83,326,3579
262,26300,6.5,0.43,0.21,3182,83,327,3592
263,26400,5.96,0.05,0.82,3191,83,328,3602
264,26500,3.87,0.37,0.79,3199,83,331,3613
265,26600,3.53,0.06,0.14,3207,84,331,3622
266,26700,5.79,0.14,0.33,3216,84,332,3632
267,26800,6.15,0.18,1.18,3232,84,336,3652
268,26900,3.74,0.28,1.11,3244,84,337,3665
269,27000,6.92,0.0,0.71,3260,84,337,3681
270,27100,4.0,0.0,0.02,3264,84,337,3685
271,27200,4.4,0.0,0.09,3270,84,337,3691
272,27300,5.55,0.0,0.31,3284,84,338,3706
